price,market_hash_name,volume
8.757,AK-47 | Emerald Pinstripe (Factory New),21
2.862,AK-47 | Emerald Pinstripe (Field-Tested),190
3.747,AK-47 | Emerald Pinstripe (Minimal Wear),92
2.769,AK-47 | Emerald Pinstripe (Well-Worn),142
529.896,AK-47 | Fire Serpent (Battle-Scarred),15
2354.201,AK-47 | Fire Serpent (Factory New),9
824.71,AK-47 | Fire Serpent (Field-Tested),23
1369.982,AK-47 | Fire Serpent (Minimal Wear),8
779.989,AK-47 | Fire Serpent (Well-Worn),2
80.205,AK-47 | First Class (Battle-Scarred),5
145.997,AK-47 | First Class (Factory New),10
91.16,AK-47 | First Class (Field-Tested),4
118.86,AK-47 | First Class (Minimal Wear),10
78.474,AK-47 | First Class (Well-Worn),8
10.326,AK-47 | Frontside Misty (Battle-Scarred),121
82.804,AK-47 | Frontside Misty (Factory New),18
12.42,AK-47 | Frontside Misty (Field-Tested),120
27.961,AK-47 | Frontside Misty (Minimal Wear),54
11.46,AK-47 | Frontside Misty (Well-Worn),37
127.774,AK-47 | Fuel Injector (Battle-Scarred),18
402.559,AK-47 | Fuel Injector (Factory New),9
177.129,AK-47 | Fuel Injector (Field-Tested),20
242.34,AK-47 | Fuel Injector (Minimal Wear),8
130.209,AK-47 | Fuel Injector (Well-Worn),12
1580.0,AK-47 | Gold Arabesque (Battle-Scarred),7
3099.99,AK-47 | Gold Arabesque (Factory New),3
2020.0,AK-47 | Gold Arabesque (Field-Tested),6
2687.477,AK-47 | Gold Arabesque (Minimal Wear),6
2019.989,AK-47 | Gold Arabesque (Well-Worn),2
21.032,AK-47 | Green Laminate (Factory New),36
14.594,AK-47 | Green Laminate (Field-Tested),84
14.954,AK-47 | Green Laminate (Minimal Wear),40
46.919,AK-47 | Green Laminate (Well-Worn),1
5.432,AK-47 | Head Shot (Battle-Scarred),394
67.98,AK-47 | Head Shot (Factory New),22
9.248,AK-47 | Head Shot (Field-Tested),55
19.686,AK-47 | Head Shot (Minimal Wear),35
7.104,AK-47 | Head Shot (Well-Worn),181
503.0,AK-47 | Hydroponic (Battle-Scarred),3
2179.209,AK-47 | Hydroponic (Factory New),6
943.0,AK-47 | Hydroponic (Field-Tested),3
1603.105,AK-47 | Hydroponic (Minimal Wear),5
5.299,AK-47 | Ice Coaled (Battle-Scarred),67
15.473,AK-47 | Ice Coaled (Factory New),55
5.321,AK-47 | Ice Coaled (Field-Tested),249
9.016,AK-47 | Ice Coaled (Minimal Wear),114
5.504,AK-47 | Ice Coaled (Well-Worn),128
73.883,AK-47 | Inheritance (Battle-Scarred),143
190.685,AK-47 | Inheritance (Factory New),13
82.361,AK-47 | Inheritance (Field-Tested),50
106.87,AK-47 | Inheritance (Minimal Wear),21
83.371,AK-47 | Inheritance (Well-Worn),10
45.355,AK-47 | Jaguar (Battle-Scarred),16
216.198,AK-47 | Jaguar (Factory New),7
59.065,AK-47 | Jaguar (Field-Tested),20
98.752,AK-47 | Jaguar (Minimal Wear),15
47.349,AK-47 | Jaguar (Well-Worn),33
326.661,AK-47 | Jet Set (Battle-Scarred),4
950.0,AK-47 | Jet Set (Factory New),1
326.344,AK-47 | Jet Set (Field-Tested),3
406.936,AK-47 | Jet Set (Minimal Wear),3
311.68,AK-47 | Jet Set (Well-Worn),3
5.16,AK-47 | Jungle Spray (Battle-Scarred),15
142.0,AK-47 | Jungle Spray (Factory New),1
5.112,AK-47 | Jungle Spray (Field-Tested),25
11.466,AK-47 | Jungle Spray (Minimal Wear),13
5.237,AK-47 | Jungle Spray (Well-Worn),17
16.749,AK-47 | Leet Museo (Battle-Scarred),76
85.893,AK-47 | Leet Museo (Factory New),18
19.889,AK-47 | Leet Museo (Field-Tested),63
38.77,AK-47 | Leet Museo (Minimal Wear),31
18.359,AK-47 | Leet Museo (Well-Worn),60
5.434,AK-47 | Legion of Anubis (Battle-Scarred),324
14.843,AK-47 | Legion of Anubis (Factory New),44
5.933,AK-47 | Legion of Anubis (Field-Tested),121
8.449,AK-47 | Legion of Anubis (Minimal Wear),89
6.694,AK-47 | Legion of Anubis (Well-Worn),48
15.28,AK-47 | Neon Revolution (Battle-Scarred),151
102.646,AK-47 | Neon Revolution (Factory New),10
16.048,AK-47 | Neon Revolution (Field-Tested),152
37.356,AK-47 | Neon Revolution (Minimal Wear),55
23.179,AK-47 | Neon Revolution (Well-Worn),13
27.537,AK-47 | Neon Rider (Battle-Scarred),128
143.497,AK-47 | Neon Rider (Factory New),18
48.518,AK-47 | Neon Rider (Field-Tested),77
89.386,AK-47 | Neon Rider (Minimal Wear),23
42.999,AK-47 | Neon Rider (Well-Worn),20
7.438,AK-47 | Nightwish (Battle-Scarred),68
63.862,AK-47 | Nightwish (Factory New),26
10.633,AK-47 | Nightwish (Field-Tested),57
17.162,AK-47 | Nightwish (Minimal Wear),44
7.887,AK-47 | Nightwish (Well-Worn),83
0.238,AK-47 | Olive Polycam (Battle-Scarred),8
0.642,AK-47 | Olive Polycam (Factory New),33
0.188,AK-47 | Olive Polycam (Field-Tested),16
0.388,AK-47 | Olive Polycam (Minimal Wear),15
0.615,AK-47 | Olive Polycam (Well-Worn),4
15.676,AK-47 | Orbit Mk01 (Battle-Scarred),8
25.35,AK-47 | Orbit Mk01 (Factory New),27
16.449,AK-47 | Orbit Mk01 (Field-Tested),32
17.804,AK-47 | Orbit Mk01 (Minimal Wear),30
18.425,AK-47 | Orbit Mk01 (Well-Worn),4
214.98,AK-47 | Panthera onca (Battle-Scarred),5
309.662,AK-47 | Panthera onca (Factory New),4
189.395,AK-47 | Panthera onca (Field-Tested),10
271.084,AK-47 | Panthera onca (Minimal Wear),3
182.091,AK-47 | Panthera onca (Well-Worn),7
3.851,AK-47 | Phantom Disruptor (Battle-Scarred),91
10.482,AK-47 | Phantom Disruptor (Factory New),30
3.858,AK-47 | Phantom Disruptor (Field-Tested),88
6.73,AK-47 | Phantom Disruptor (Minimal Wear),36
4.93,AK-47 | Phantom Disruptor (Well-Worn),44
8.677,AK-47 | Point Disarray (Battle-Scarred),191
37.623,AK-47 | Point Disarray (Factory New),43
9.088,AK-47 | Point Disarray (Field-Tested),118
16.48,AK-47 | Point Disarray (Minimal Wear),42
10.896,AK-47 | Point Disarray (Well-Worn),30
21.949,AK-47 | Predator (Battle-Scarred),11
71.86,AK-47 | Predator (Factory New),3
22.104,AK-47 | Predator (Field-Tested),15
22.26,AK-47 | Predator (Minimal Wear),18
21.927,AK-47 | Predator (Well-Worn),7
3.358,AK-47 | Rat Rod (Battle-Scarred),116
10.38,AK-47 | Rat Rod (Factory New),22
3.512,AK-47 | Rat Rod (Field-Tested),115
5.256,AK-47 | Rat Rod (Minimal Wear),20
3.361,AK-47 | Rat Rod (Well-Worn),155
48.893,AK-47 | Red Laminate (Battle-Scarred),13
46.98,AK-47 | Red Laminate (Field-Tested),40
73.889,AK-47 | Red Laminate (Minimal Wear),11
47.698,AK-47 | Red Laminate (Well-Worn),15
14.644,AK-47 | Redline (Battle-Scarred),177
25.451,AK-47 | Redline (Field-Tested),232
124.595,AK-47 | Redline (Minimal Wear),29
20.424,AK-47 | Redline (Well-Worn),33
0.077,AK-47 | Safari Mesh (Battle-Scarred),630
2.091,AK-47 | Safari Mesh (Factory New),19
0.084,AK-47 | Safari Mesh (Field-Tested),1451
0.178,AK-47 | Safari Mesh (Minimal Wear),596
0.102,AK-47 | Safari Mesh (Well-Worn),430
4.358,MP7 | Fade (Field-Tested),104
3.503,AK-47 | Safety Net (Battle-Scarred),52
5.972,AK-47 | Safety Net (Factory New),16
3.56,AK-47 | Safety Net (Field-Tested),120
4.146,AK-47 | Safety Net (Minimal Wear),91
3.5,AK-47 | Safety Net (Well-Worn),89
2.85,AK-47 | Slate (Battle-Scarred),142
10.877,AK-47 | Slate (Factory New),141
2.914,AK-47 | Slate (Field-Tested),1291
4.806,AK-47 | Slate (Minimal Wear),330
2.815,AK-47 | Slate (Well-Worn),710
1.593,AK-47 | Steel Delta (Battle-Scarred),46
2.549,AK-47 | Steel Delta (Factory New),14
1.285,AK-47 | Steel Delta (Field-Tested),262
1.797,AK-47 | Steel Delta (Minimal Wear),104
1.666,AK-47 | Steel Delta (Well-Worn),15
26.37,AK-47 | The Empress (Battle-Scarred),254
156.596,AK-47 | The Empress (Factory New),11
33.469,AK-47 | The Empress (Field-Tested),73
62.945,AK-47 | The Empress (Minimal Wear),41
26.995,AK-47 | The Empress (Well-Worn),55
20.69,AK-47 | The Outsiders (Battle-Scarred),10
114.69,AK-47 | The Outsiders (Factory New),4
21.904,AK-47 | The Outsiders (Field-Tested),11
59.952,AK-47 | The Outsiders (Minimal Wear),1
17.204,AK-47 | The Outsiders (Well-Worn),11
0.329,AK-47 | Uncharted (Battle-Scarred),247
1.168,AK-47 | Uncharted (Factory New),36
0.319,AK-47 | Uncharted (Field-Tested),539
0.49,AK-47 | Uncharted (Minimal Wear),489
0.747,AK-47 | Uncharted (Well-Worn),91
132.228,AK-47 | Vulcan (Battle-Scarred),29
778.012,AK-47 | Vulcan (Factory New),7
238.474,AK-47 | Vulcan (Field-Tested),35
469.563,AK-47 | Vulcan (Minimal Wear),18
141.362,AK-47 | Vulcan (Well-Worn),19
25.821,AK-47 | Wasteland Rebel (Battle-Scarred),84
229.985,AK-47 | Wasteland Rebel (Factory New),3
25.583,AK-47 | Wasteland Rebel (Field-Tested),188
52.719,AK-47 | Wasteland Rebel (Minimal Wear),23
50.0,AK-47 | Wasteland Rebel (Well-Worn),1
2919.365,AK-47 | Wild Lotus (Battle-Scarred),12
7745.699,AK-47 | Wild Lotus (Field-Tested),5
11237.612,AK-47 | Wild Lotus (Minimal Wear),2
6299.0,AK-47 | Wild Lotus (Well-Worn),1
284.0,AK-47 | X-Ray (Battle-Scarred),9
2249.987,AK-47 | X-Ray (Factory New),2
682.98,AK-47 | X-Ray (Field-Tested),5
1203.519,AK-47 | X-Ray (Minimal Wear),5
398.718,AK-47 | X-Ray (Well-Worn),4
29.69,Alyx Pin,5
0.722,Ambush Sticker Capsule,123
4.07,Antwerp 2022 Ancient Souvenir Package,9
0.268,Antwerp 2022 Challengers Autograph Capsule,57
0.26,Antwerp 2022 Challengers Sticker Capsule,710
0.28,Antwerp 2022 Champions Autograph Capsule,67
0.536,Antwerp 2022 Contenders Autograph Capsule,116
0.346,Antwerp 2022 Contenders Sticker Capsule,229
7.212,Antwerp 2022 Dust II Souvenir Package,5
3.44,Antwerp 2022 Inferno Souvenir Package,66
0.324,Antwerp 2022 Legends Autograph Capsule,100
0.466,Antwerp 2022 Legends Sticker Capsule,331
3.34,Antwerp 2022 Mirage Souvenir Package,118
2.499,Antwerp 2022 Nuke Souvenir Package,55
5.306,Antwerp 2022 Overpass Souvenir Package,5
4.64,Antwerp 2022 Vertigo Souvenir Package,2
17.6,Antwerp 2022 Viewer Pass,5
39.217,Antwerp 2022 Viewer Pass + 3 Souvenir Tokens,6
1.119,Anubis Collection Package,361
9.61,Arno The Overgrown | Guerrilla Warfare,53
6.739,Aspirant | Gendarmerie Nationale,27
36.57,Atlanta 2017 Cache Souvenir Package,1
80.766,Atlanta 2017 Challengers (Holo-Foil),2
84.0,Atlanta 2017 Legends (Holo-Foil),7
1888.66,Atlanta 2017 Nuke Souvenir Package,1
46.672,Atlanta 2017 Overpass Souvenir Package,3
303.233,AUG | Akihabara Accept (Battle-Scarred),8
4300.0,AUG | Akihabara Accept (Factory New),2
587.001,AUG | Akihabara Accept (Field-Tested),4
1517.8,AUG | Akihabara Accept (Minimal Wear),2
362.999,AUG | Akihabara Accept (Well-Worn),4
1.611,AUG | Amber Fade (Factory New),20
1.099,AUG | Amber Fade (Field-Tested),122
1.125,AUG | Amber Fade (Minimal Wear),63
2.695,AUG | Amber Fade (Well-Worn),4
0.399,AUG | Amber Slipstream (Battle-Scarred),9
0.36,AUG | Amber Slipstream (Factory New),26
0.206,AUG | Amber Slipstream (Field-Tested),12
0.285,AUG | Amber Slipstream (Minimal Wear),23
0.199,AUG | Amber Slipstream (Well-Worn),20
26.674,AUG | Anodized Navy (Factory New),7
52.833,AUG | Anodized Navy (Minimal Wear),4
1.479,AUG | Arctic Wolf (Battle-Scarred),102
5.661,AUG | Arctic Wolf (Factory New),12
1.49,AUG | Arctic Wolf (Field-Tested),54
2.699,AUG | Arctic Wolf (Minimal Wear),25
2.079,AUG | Arctic Wolf (Well-Worn),9
0.67,AUG | Aristocrat (Battle-Scarred),52
1.789,AUG | Aristocrat (Factory New),60
0.636,AUG | Aristocrat (Field-Tested),43
1.08,AUG | Aristocrat (Minimal Wear),22
0.842,AUG | Aristocrat (Well-Worn),28
6.536,AUG | Bengal Tiger (Battle-Scarred),11
30.752,AUG | Bengal Tiger (Factory New),16
6.738,AUG | Bengal Tiger (Field-Tested),20
4.335,MP7 | Fade (Minimal Wear),71
10.503,AUG | Bengal Tiger (Minimal Wear),6
7.337,AUG | Bengal Tiger (Well-Worn),2
15.613,AUG | Carved Jade (Factory New),27
20.7,AUG | Carved Jade (Field-Tested),1
15.099,AUG | Carved Jade (Minimal Wear),22
2.832,AUG | Chameleon (Battle-Scarred),31
4.519,AUG | Chameleon (Factory New),32
2.378,AUG | Chameleon (Field-Tested),295
2.853,AUG | Chameleon (Minimal Wear),42
2.807,AUG | Chameleon (Well-Worn),28
2.797,AUG | Colony (Battle-Scarred),5
11.459,AUG | Colony (Factory New),2
2.25,AUG | Colony (Field-Tested),13
3.26,AUG | Colony (Minimal Wear),6
2.856,AUG | Colony (Well-Worn),7
0.05,AUG | Condemned (Battle-Scarred),10
0.168,AUG | Condemned (Factory New),37
0.048,AUG | Condemned (Field-Tested),55
0.092,AUG | Condemned (Minimal Wear),10
0.059,AUG | Condemned (Well-Worn),18
0.01,AUG | Contractor (Battle-Scarred),146
0.174,AUG | Contractor (Factory New),4
0.009,AUG | Contractor (Field-Tested),497
0.01,AUG | Contractor (Minimal Wear),76
0.009,AUG | Contractor (Well-Worn),72
92.928,AUG | Copperhead (Field-Tested),3
88.49,AUG | Copperhead (Minimal Wear),5
4.77,AUG | Daedalus (Battle-Scarred),5
4.77,AUG | Daedalus (Factory New),12
4.488,AUG | Daedalus (Field-Tested),19
5.089,AUG | Daedalus (Minimal Wear),7
4.911,AUG | Daedalus (Well-Worn),3
10.209,AUG | Death by Puppy (Factory New),9
5.642,AUG | Death by Puppy (Field-Tested),83
6.65,AUG | Death by Puppy (Minimal Wear),17
6.733,AUG | Death by Puppy (Well-Worn),5
5.203,AUG | Eye of Zapems (Battle-Scarred),2
20.749,AUG | Eye of Zapems (Factory New),3
7.038,AUG | Eye of Zapems (Field-Tested),2
16.463,AUG | Eye of Zapems (Minimal Wear),4
6.767,AUG | Eye of Zapems (Well-Worn),3
342.43,AUG | Flame Jörmungandr (Factory New),10
380.0,AUG | Flame Jörmungandr (Minimal Wear),1
384.127,AUG | Flame Jörmungandr (Well-Worn),2
1.995,AUG | Fleet Flock (Battle-Scarred),47
12.96,AUG | Fleet Flock (Factory New),10
2.357,AUG | Fleet Flock (Field-Tested),36
5.399,AUG | Fleet Flock (Minimal Wear),15
2.315,AUG | Fleet Flock (Well-Worn),15
553.14,AUG | Hot Rod (Factory New),1
366.0,AUG | Hot Rod (Minimal Wear),1
17.725,AUG | Lil' Pig (Battle-Scarred),3
32.916,AUG | Lil' Pig (Field-Tested),3
0.355,AUG | Luxe Trim (Battle-Scarred),1
0.094,AUG | Luxe Trim (Field-Tested),10
1.459,AUG | Luxe Trim (Minimal Wear),11
0.334,AUG | Luxe Trim (Well-Worn),5
389.615,AUG | Midnight Lily (Battle-Scarred),1
405.99,AUG | Midnight Lily (Factory New),4
374.305,AUG | Midnight Lily (Field-Tested),1
362.77,AUG | Midnight Lily (Minimal Wear),2
1.685,AUG | Momentum (Battle-Scarred),32
16.521,AUG | Momentum (Factory New),7
1.859,AUG | Momentum (Field-Tested),125
4.759,AUG | Momentum (Minimal Wear),5
1.577,AUG | Momentum (Well-Worn),24
1.282,AUG | Navy Murano (Battle-Scarred),20
5.0,AUG | Navy Murano (Factory New),9
1.519,AUG | Navy Murano (Field-Tested),28
1.956,AUG | Navy Murano (Minimal Wear),22
1.348,AUG | Navy Murano (Well-Worn),24
0.566,AUG | Plague (Battle-Scarred),24
1.685,AUG | Plague (Factory New),18
1.083,AUG | Plague (Field-Tested),16
0.89,AUG | Plague (Minimal Wear),33
0.879,AUG | Plague (Well-Worn),7
2.168,AUG | Radiation Hazard (Battle-Scarred),11
2.55,AUG | Radiation Hazard (Factory New),15
2.16,AUG | Radiation Hazard (Field-Tested),21
2.14,AUG | Radiation Hazard (Minimal Wear),24
2.35,AUG | Radiation Hazard (Well-Worn),9
1.64,AUG | Random Access (Battle-Scarred),8
4.171,AUG | Random Access (Factory New),16
2.39,AUG | Random Access (Field-Tested),2
1.626,AUG | Random Access (Minimal Wear),17
1.59,AUG | Random Access (Well-Worn),9
0.11,AUG | Ricochet (Battle-Scarred),20
0.54,AUG | Ricochet (Factory New),40
0.109,AUG | Ricochet (Field-Tested),306
0.231,AUG | Ricochet (Minimal Wear),206
0.147,AUG | Ricochet (Well-Worn),20
69.111,AUG | Sand Storm (Factory New),14
62.36,AUG | Sand Storm (Field-Tested),5
81.325,AUG | Sand Storm (Minimal Wear),3
0.04,AUG | Snake Pit (Battle-Scarred),18
0.09,AUG | Snake Pit (Factory New),98
0.04,AUG | Snake Pit (Field-Tested),84
0.059,AUG | Snake Pit (Minimal Wear),18
0.04,AUG | Snake Pit (Well-Worn),13
4.105,AUG | Spalted Wood (Factory New),150
4.083,AUG | Spalted Wood (Field-Tested),59
4.076,AUG | Spalted Wood (Minimal Wear),66
0.01,AUG | Storm (Battle-Scarred),76
0.372,AUG | Storm (Factory New),46
0.01,AUG | Storm (Field-Tested),265
0.05,AUG | Storm (Minimal Wear),12
0.008,AUG | Storm (Well-Worn),10
1.662,AUG | Stymphalian (Battle-Scarred),38
7.889,AUG | Stymphalian (Factory New),12
1.69,AUG | Stymphalian (Field-Tested),159
3.214,AUG | Stymphalian (Minimal Wear),28
1.734,AUG | Stymphalian (Well-Worn),17
0.8,AUG | Surveillance (Battle-Scarred),16
0.923,AUG | Surveillance (Factory New),14
0.76,AUG | Surveillance (Field-Tested),41
0.744,AUG | Surveillance (Minimal Wear),23
0.82,AUG | Surveillance (Well-Worn),5
0.009,AUG | Sweeper (Battle-Scarred),65
0.034,AUG | Sweeper (Factory New),429
0.008,AUG | Sweeper (Field-Tested),82
0.011,AUG | Sweeper (Minimal Wear),16
0.013,AUG | Sweeper (Well-Worn),36
1.668,AUG | Syd Mead (Battle-Scarred),38
8.45,AUG | Syd Mead (Factory New),8
1.828,AUG | Syd Mead (Field-Tested),46
3.675,AUG | Syd Mead (Minimal Wear),17
2.196,AUG | Syd Mead (Well-Worn),53
0.146,AUG | Tom Cat (Battle-Scarred),31
0.241,AUG | Tom Cat (Factory New),32
0.133,AUG | Tom Cat (Field-Tested),117
0.104,AUG | Tom Cat (Minimal Wear),68
0.157,AUG | Tom Cat (Well-Worn),12
9.25,AUG | Torque (Battle-Scarred),6
11.272,AUG | Torque (Factory New),9
8.704,AUG | Torque (Field-Tested),9
8.999,AUG | Torque (Minimal Wear),23
12.502,AUG | Torque (Well-Worn),1
0.092,AUG | Triqua (Battle-Scarred),70
0.369,AUG | Triqua (Factory New),31
0.109,AUG | Triqua (Field-Tested),51
0.13,AUG | Triqua (Minimal Wear),43
0.104,AUG | Triqua (Well-Worn),93
24.99,AUG | Wings (Factory New),26
27.57,AUG | Wings (Minimal Wear),15
6.366,Autograph Capsule | Astralis | Atlanta 2017,3
6.037,Autograph Capsule | Astralis | MLG Columbus 2016,2
95.0,Autograph Capsule | Challengers (Foil) | Atlanta 2017,1
57.62,Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015,1
61.104,Autograph Capsule | Challengers (Foil) | Cologne 2016,9
31.1,Autograph Capsule | Challengers (Foil) | MLG Columbus 2016,15
8.899,Autograph Capsule | Cloud9 G2A | Cologne 2015,8
18.658,Autograph Capsule | Cloud9 | Cluj-Napoca 2015,1
21.951,Autograph Capsule | Cloud9 | MLG Columbus 2016,2
7.498,Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015,6
12.073,Autograph Capsule | Counter Logic Gaming | Cologne 2015,1
19.19,Autograph Capsule | Counter Logic Gaming | Cologne 2016,4
6.586,Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016,3
9.04,Autograph Capsule | FaZe Clan | Atlanta 2017,1
11.34,Autograph Capsule | FaZe Clan | Cologne 2016,1
8.122,Autograph Capsule | FaZe Clan | MLG Columbus 2016,1
11.47,Autograph Capsule | Flipsid3 Tactics | Atlanta 2017,3
16.151,Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015,6
16.459,Autograph Capsule | Flipsid3 Tactics | Cologne 2015,4
7.65,Autograph Capsule | Flipsid3 Tactics | MLG Columbus 2016,9
54.876,Autograph Capsule | Fnatic | Atlanta 2017,1
5.089,Autograph Capsule | Fnatic | Cluj-Napoca 2015,7
4.47,Autograph Capsule | Fnatic | Cologne 2015,11
10.171,Autograph Capsule | Fnatic | Cologne 2016,2
5.378,Autograph Capsule | Fnatic | MLG Columbus 2016,3
7.058,Autograph Capsule | G2 Esports | Atlanta 2017,2
7.716,Autograph Capsule | G2 Esports | Cluj-Napoca 2015,2
20.83,Autograph Capsule | G2 Esports | Cologne 2016,2
15.585,Autograph Capsule | G2 Esports | MLG Columbus 2016,2
6.586,Autograph Capsule | Gambit Gaming | Atlanta 2017,3
20.015,Autograph Capsule | Gambit Gaming | Cologne 2016,1
6.798,Autograph Capsule | Gambit Gaming | MLG Columbus 2016,3
5.21,Autograph Capsule | GODSENT | Atlanta 2017,4
22.38,Autograph Capsule | Group B (Foil) | Cologne 2015,2
2398.05,Autograph Capsule | Group C (Foil) | Cologne 2015,1
29.194,Autograph Capsule | Group D (Foil) | Cologne 2015,2
8.779,Autograph Capsule | HellRaisers | Atlanta 2017,3
25.6,Autograph Capsule | Legends (Foil) | Cluj-Napoca 2015,10
46.312,Autograph Capsule | Legends (Foil) | Cologne 2016,13
22.313,Autograph Capsule | Legends (Foil) | MLG Columbus 2016,2
13.171,Autograph Capsule | Luminosity Gaming | Cluj-Napoca 2015,1
13.171,Autograph Capsule | Luminosity Gaming | Cologne 2015,1
8.232,Autograph Capsule | Luminosity Gaming | MLG Columbus 2016,3
13.75,Autograph Capsule | mousesports | Atlanta 2017,3
36.232,Autograph Capsule | mousesports | Cluj-Napoca 2015,6
17.83,Autograph Capsule | mousesports | Cologne 2015,5
9.338,Autograph Capsule | mousesports | MLG Columbus 2016,2
20.853,Autograph Capsule | Natus Vincere | Atlanta 2017,2
6.13,Autograph Capsule | Natus Vincere | Cluj-Napoca 2015,9
29.53,Autograph Capsule | Natus Vincere | Cologne 2016,5
5.477,Autograph Capsule | Natus Vincere | MLG Columbus 2016,11
4.281,Autograph Capsule | Ninjas in Pyjamas | Cologne 2015,4
6.58,Autograph Capsule | Ninjas in Pyjamas | Cologne 2016,1
6.8,Autograph Capsule | Ninjas in Pyjamas | MLG Columbus 2016,2
10.976,Autograph Capsule | North | Atlanta 2017,3
15.366,Autograph Capsule | OpTic Gaming | Atlanta 2017,2
21.951,Autograph Capsule | OpTic Gaming | Cologne 2016,1
11.305,Autograph Capsule | Renegades | Cologne 2015,1
0.74,P250 | Inferno (Well-Worn),54
6.996,Autograph Capsule | SK Gaming | Atlanta 2017,6
7.381,Autograph Capsule | SK Gaming | Cologne 2016,8
6.023,Autograph Capsule | Splyce | MLG Columbus 2016,8
38.255,Autograph Capsule | Team Dignitas | Cluj-Napoca 2015,3
38.413,Autograph Capsule | Team Dignitas | Cologne 2016,1
8.0,Autograph Capsule | Team eBettle | Cologne 2015,3
9.91,Autograph Capsule | Team EnVyUs | Atlanta 2017,2
4.518,Autograph Capsule | Team EnVyUs | Cluj-Napoca 2015,17
8.103,Autograph Capsule | Team EnVyUs | Cologne 2015,3
21.93,Autograph Capsule | Team EnVyUs | Cologne 2016,2
19.34,Autograph Capsule | Team Immunity | Cologne 2015,2
18.98,Autograph Capsule | Team Liquid | Atlanta 2017,2
11.032,Autograph Capsule | Team Liquid | Cluj-Napoca 2015,3
11.52,Autograph Capsule | Team Liquid | Cologne 2016,2
6.367,Autograph Capsule | Team Liquid | MLG Columbus 2016,7
